6701 東証1部 ＮＥＣ（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2020-01-06","4475","4600","4475","4580","1678000","4580"
"2020-01-07","4605","4745","4605","4745","2543200","4745"
"2020-01-08","4725","4880","4645","4850","3372400","4850"
"2020-01-09","4940","5020","4870","5020","3441400","5020"
"2020-01-10","4980","5040","4970","5040","1850900","5040"
"2020-01-14","5100","5180","5030","5080","1987600","5080"
"2020-01-15","5010","5040","4915","4940","2401500","4940"
"2020-01-16","4975","5030","4940","4970","1406000","4970"
"2020-01-17","5020","5020","4890","4925","1971300","4925"
"2020-01-20","4915","4950","4895","4935","960300","4935"
"2020-01-21","4925","5000","4890","4975","1305600","4975"
"2020-01-22","4990","5090","4990","5040","1144400","5040"
"2020-01-23","4980","5110","4955","5110","1300800","5110"
"2020-01-24","5130","5150","5090","5120","1150600","5120"
"2020-01-27","5000","5100","5000","5070","918900","5070"
"2020-01-28","5060","5170","5000","5030","1463000","5030"
"2020-01-29","5030","5040","4950","4985","1717700","4985"
"2020-01-30","4830","4870","4765","4810","3645800","4810"
"2020-01-31","4900","4980","4860","4920","2548300","4920"
"2020-02-03","4840","5020","4830","4995","1627500","4995"
"2020-02-04","4950","5000","4915","4980","1653900","4980"
"2020-02-05","5000","5040","4960","5040","1272100","5040"
"2020-02-06","5040","5050","4965","5020","1278700","5020"
"2020-02-07","5010","5020","4965","5010","1005400","5010"
"2020-02-10","4990","5000","4940","4950","863500","4950"
"2020-02-12","5000","5070","5000","5020","1158000","5020"
"2020-02-13","5000","5030","4950","4970","918100","4970"
"2020-02-14","4910","4940","4870","4890","1238600","4890"
"2020-02-17","4785","4830","4760","4800","991600","4800"
"2020-02-18","4770","4795","4660","4725","1615900","4725"
"2020-02-19","4780","4800","4755","4770","1160600","4770"
"2020-02-20","4810","4845","4755","4795","1434900","4795"
"2020-02-21","4795","4810","4755","4780","982000","4780"
"2020-02-25","4560","4690","4555","4630","1766500","4630"
"2020-02-26","4560","4560","4450","4545","2233400","4545"
"2020-02-27","4510","4520","4305","4330","2831100","4330"
"2020-02-28","4150","4190","4035","4040","3309900","4040"
"2020-03-02","3980","4325","3980","4275","2796500","4275"
"2020-03-03","4380","4395","4125","4125","2640900","4125"
"2020-03-04","4090","4285","4080","4225","1881700","4225"
"2020-03-05","4250","4260","4180","4205","1422800","4205"
"2020-03-06","4150","4185","4060","4090","2056200","4090"
"2020-03-09","3950","3955","3785","3820","2147200","3820"
"2020-03-10","3715","4015","3620","3970","2973100","3970"
"2020-03-11","3985","4040","3800","3820","2534200","3820"
"2020-03-12","3750","3805","3585","3615","2686900","3615"
"2020-03-13","3300","3470","3230","3345","2731000","3345"
"2020-03-16","3375","3495","3290","3330","1882100","3330"
"2020-03-17","3230","3500","3180","3365","3604200","3365"
"2020-03-18","3430","3490","3255","3270","2221800","3270"
"2020-03-19","3410","3590","3360","3515","4047900","3515"
"2020-03-23","3605","3630","3405","3525","2090800","3525"
"2020-03-24","3595","3595","3410","3485","2542100","3485"
"2020-03-25","3695","3990","3655","3965","2840200","3965"
"2020-03-26","3805","3905","3755","3790","2134500","3790"
"2020-03-27","3960","3960","3780","3915","1871600","3915"
"2020-03-30","3765","3950","3765","3915","1371000","3915"
"2020-03-31","3980","4025","3920","3945","2169000","3945"
"2020-04-01","3980","4130","3945","3980","2042000","3980"
"2020-04-02","3940","4040","3910","3925","1776400","3925"
"2020-04-03","3895","3950","3750","3775","1375300","3775"
"2020-04-06","3715","3875","3705","3830","1618400","3830"
"2020-04-07","3915","3980","3815","3920","1286100","3920"
"2020-04-08","3905","4020","3880","3975","1519100","3975"
"2020-04-09","4045","4070","3920","3950","1291000","3950"
"2020-04-10","3980","4065","3915","4050","927500","4050"
"2020-04-13","4010","4050","3975","4015","571600","4015"
"2020-04-14","4000","4155","3985","4150","1099500","4150"
"2020-04-15","4135","4360","4120","4335","1861100","4335"
"2020-04-16","4270","4290","4185","4275","1469500","4275"
"2020-04-17","4320","4335","4235","4255","1039800","4255"
"2020-04-20","4200","4290","4190","4250","846300","4250"
"2020-04-21","4215","4215","4110","4120","1110300","4120"
"2020-04-22","4065","4075","3965","4010","1400800","4010"
"2020-04-23","4115","4150","3975","3985","1373300","3985"
"2020-04-24","4015","4055","3960","4045","1451700","4045"
"2020-04-27","4125","4220","4095","4195","1459700","4195"
"2020-04-28","4140","4270","4130","4260","1175800","4260"
"2020-04-30","4320","4340","4165","4165","1979200","4165"
"2020-05-01","4110","4125","4050","4095","1031300","4095"
"2020-05-07","4115","4145","4040","4065","1242700","4065"
"2020-05-08","4105","4115","4040","4100","1171300","4100"
"2020-05-11","4450","4460","4245","4290","3501500","4290"
"2020-05-12","4340","4400","4320","4390","1827600","4390"
"2020-05-13","4500","4690","4480","4675","4515200","4675"
"2020-05-14","4745","4810","4605","4620","3315000","4620"
"2020-05-15","4645","4800","4635","4800","2514700","4800"
"2020-05-18","4840","4890","4765","4790","1845300","4790"
"2020-05-19","4850","4885","4760","4850","1902900","4850"
"2020-05-20","4865","4970","4860","4965","2035800","4965"
"2020-05-21","4995","5030","4880","4915","1564000","4915"
"2020-05-22","4865","4940","4860","4885","1356200","4885"
"2020-05-25","4865","4905","4860","4885","1032600","4885"
"2020-05-26","4885","4985","4880","4915","1449900","4915"
"2020-05-27","4900","4935","4825","4900","1383100","4900"
"2020-05-28","4885","4890","4775","4835","1843000","4835"
"2020-05-29","4805","4865","4770","4835","2369600","4835"
"2020-06-01","4815","4880","4795","4855","1180400","4855"
"2020-06-02","4795","4855","4790","4835","1596300","4835"
"2020-06-03","4815","4820","4690","4745","2779500","4745"
"2020-06-04","4850","4925","4725","4925","3147600","4925"
"2020-06-05","4925","5060","4915","5030","3225500","5030"
"2020-06-08","5080","5080","4980","5010","1407500","5010"
"2020-06-09","5000","5040","4900","4930","1821200","4930"
"2020-06-10","4940","5070","4930","5040","1377500","5040"
"2020-06-11","5030","5100","4945","4960","1699900","4960"
"2020-06-12","4830","4975","4795","4975","2395700","4975"
"2020-06-15","4950","5030","4830","4835","1614500","4835"
"2020-06-16","4945","5040","4910","5010","1369600","5010"
"2020-06-17","5010","5090","5000","5050","1096700","5050"
"2020-06-18","4985","5080","4970","5070","1158200","5070"
"2020-06-19","5030","5070","5000","5000","2155400","5000"
"2020-06-22","5010","5070","5010","5050","765000","5050"
"2020-06-23","5030","5140","5020","5100","1629400","5100"
"2020-06-24","5110","5180","5040","5050","1701200","5050"
"2020-06-25","5090","5280","5080","5170","3367900","5170"
"2020-06-26","5100","5310","5080","5280","2656900","5280"
"2020-06-29","5350","5370","5230","5240","1866000","5240"
"2020-06-30","5340","5340","5150","5170","1960200","5170"
"2020-07-01","5250","5280","5140","5170","1571600","5170"
"2020-07-02","5300","5300","5160","5220","2403400","5220"
"2020-07-03","5250","5330","5230","5310","1729700","5310"
"2020-07-06","5340","5430","5320","5410","1514700","5410"
"2020-07-07","5480","5530","5420","5490","1978700","5490"
"2020-07-08","5550","5630","5530","5570","2224600","5570"
"2020-07-09","5620","5630","5510","5580","1839900","5580"
"2020-07-10","5550","5630","5540","5550","1637600","5550"
"2020-07-13","5650","5790","5580","5770","2570300","5770"
"2020-07-14","5670","5760","5600","5650","1995500","5650"
"2020-07-15","5660","5700","5610","5660","1577400","5660"
"2020-07-16","5630","5650","5530","5580","1531100","5580"
"2020-07-17","5590","5670","5590","5660","1179200","5660"
"2020-07-20","5750","5850","5730","5790","2461500","5790"
"2020-07-21","5880","5970","5850","5920","2562800","5920"
"2020-07-22","5830","5970","5770","5970","2327200","5970"
"2020-07-27","5900","5970","5880","5930","1976700","5930"
"2020-07-28","6000","6040","5950","5970","1857900","5970"
"2020-07-29","5980","6050","5960","6010","1979800","6010"
"2020-07-30","6010","6020","5890","5910","2017600","5910"
"2020-07-31","5950","6000","5860","5890","2851200","5890"
"2020-08-03","5270","5640","5250","5470","5798100","5470"
"2020-08-04","5550","5670","5530","5610","3382500","5610"
"2020-08-05","5560","5660","5520","5540","1963400","5540"
"2020-08-06","5550","5600","5470","5540","1563000","5540"
"2020-08-07","5500","5520","5350","5380","1776600","5380"
"2020-08-11","5360","5400","5250","5390","1865700","5390"
"2020-08-12","5320","5380","5270","5360","1410900","5360"
"2020-08-13","5430","5480","5370","5450","1600000","5450"
"2020-08-14","5500","5570","5460","5520","1373800","5520"
"2020-08-17","5520","5530","5420","5430","950500","5430"
"2020-08-18","5440","5480","5370","5460","821600","5460"
"2020-08-19","5550","5720","5530","5660","2715800","5660"
"2020-08-20","5600","5660","5540","5570","1089000","5570"
"2020-08-21","5620","5630","5530","5610","921500","5610"
"2020-08-24","5690","5710","5600","5610","819600","5610"
"2020-08-25","5650","5660","5600","5630","917500","5630"
"2020-08-26","5680","5680","5600","5640","947000","5640"
"2020-08-27","5640","5730","5640","5660","952300","5660"
"2020-08-28","5620","5620","5380","5490","2230300","5490"
"2020-08-31","5560","5650","5560","5590","1247000","5590"
"2020-09-01","5550","5560","5460","5520","1110000","5520"
"2020-09-02","5580","5600","5530","5560","847200","5560"
"2020-09-03","5600","5600","5520","5540","884300","5540"
"2020-09-04","5410","5480","5370","5400","1380600","5400"
"2020-09-07","5310","5340","5190","5270","1539300","5270"
"2020-09-08","5320","5360","5240","5350","1144900","5350"
"2020-09-09","5310","5480","5300","5470","1760100","5470"
"2020-09-10","5470","5630","5460","5620","1839900","5620"
"2020-09-11","5690","5690","5590","5660","1490400","5660"
"2020-09-14","5590","5620","5510","5580","1370200","5580"
"2020-09-15","5590","5620","5530","5600","1246700","5600"
"2020-09-16","5630","5750","5590","5720","1512500","5720"
"2020-09-17","5670","5710","5630","5690","845700","5690"
"2020-09-18","5750","5930","5730","5920","3173300","5920"
"2020-09-23","5960","6020","5850","5910","2530400","5910"
"2020-09-24","5920","6100","5880","6000","2632400","6000"
"2020-09-25","6030","6070","5970","6020","2029700","6020"
"2020-09-28","6070","6090","5990","6070","1754100","6070"
"2020-09-29","6080","6200","6060","6180","2181000","6180"
"2020-09-30","6230","6260","6140","6140","2260300","6140"
"2020-10-02","6170","6190","6000","6050","2318400","6050"
"2020-10-05","6050","6210","5970","6200","2436500","6200"
"2020-10-06","6220","6230","6050","6060","1728200","6060"
"2020-10-07","6020","6060","6000","6020","1447700","6020"
"2020-10-08","6020","6030","5930","6010","1683100","6010"
"2020-10-09","5990","6050","5980","6040","973100","6040"
"2020-10-12","6020","6030","5940","5960","1080900","5960"
"2020-10-13","6010","6010","5910","5910","1108100","5910"
"2020-10-14","5900","5970","5880","5960","1105800","5960"
"2020-10-15","5940","5990","5890","5940","960900","5940"
"2020-10-16","5900","5900","5770","5800","1815100","5800"
"2020-10-19","5780","5870","5740","5840","1157800","5840"
"2020-10-20","5840","5890","5720","5770","1720100","5770"
"2020-10-21","5780","5790","5640","5640","1935400","5640"
"2020-10-22","5600","5680","5570","5640","1556700","5640"
"2020-10-23","5590","5660","5570","5610","1053600","5610"
"2020-10-26","5740","5790","5690","5710","1972600","5710"
"2020-10-27","5680","5720","5620","5720","1310500","5720"
"2020-10-28","5520","5590","5460","5500","2646900","5500"
"2020-10-29","5350","5560","5330","5500","1922700","5500"
"2020-10-30","5350","5440","5230","5250","3593100","5250"
"2020-11-02","5250","5340","5180","5230","1855300","5230"
"2020-11-04","5280","5450","5240","5420","2242100","5420"
"2020-11-05","5510","5690","5500","5680","2494100","5680"
"2020-11-06","5630","5660","5570","5630","1675600","5630"
"2020-11-09","5670","5780","5600","5760","1598400","5760"
"2020-11-10","5730","5770","5670","5740","2739800","5740"
"2020-11-11","5540","5710","5510","5670","2508300","5670"
"2020-11-12","5730","5750","5620","5660","1593600","5660"
"2020-11-13","5600","5630","5500","5510","1931200","5510"
"2020-11-16","5560","5570","5480","5500","1312100","5500"
"2020-11-17","5480","5480","5390","5390","1687500","5390"
"2020-11-18","5350","5490","5350","5430","1214600","5430"
"2020-11-19","5470","5550","5390","5550","1500400","5550"
"2020-11-20","5570","5590","5440","5480","1096100","5480"
"2020-11-24","5590","5650","5580","5620","1515200","5620"
"2020-11-25","5650","5650","5500","5550","1703400","5550"
"2020-11-26","5550","5590","5500","5580","914600","5580"
"2020-11-27","5570","5660","5560","5660","1417100","5660"
"2020-11-30","5700","5750","5590","5630","2767400","5630"
"2020-12-01","5690","5730","5640","5660","1460500","5660"
"2020-12-02","5680","5700","5620","5670","1159800","5670"
"2020-12-03","5660","5660","5580","5610","1207500","5610"
"2020-12-04","5610","5650","5580","5640","761600","5640"
"2020-12-07","5610","5620","5460","5480","1346100","5480"
"2020-12-08","5450","5510","5380","5490","890500","5490"
"2020-12-09","5440","5470","5410","5460","1000300","5460"
"2020-12-10","5400","5530","5400","5420","1033800","5420"
"2020-12-11","5430","5470","5350","5390","934200","5390"
"2020-12-14","5390","5510","5380","5480","941000","5480"
"2020-12-15","5530","5550","5380","5380","996600","5380"
"2020-12-16","5440","5490","5400","5480","959700","5480"
"2020-12-17","5500","5680","5490","5680","1920300","5680"
"2020-12-18","5640","5660","5550","5590","1211700","5590"
"2020-12-21","5600","5620","5530","5560","729800","5560"
"2020-12-22","5520","5560","5400","5440","1017200","5440"
"2020-12-24","5490","5530","5470","5480","711400","5480"
"2020-12-25","5490","5520","5440","5450","352300","5450"
"2020-12-28","5450","5470","5400","5430","710700","5430"
"2020-12-30","5560","5580","5480","5540","749100","5540"